FIPS,Deaths,Population,Crude_Rate
"13293",Suppressed,26368,Suppressed

"13295",Suppressed,68066,Suppressed

"13297",17,88399,Unreliable

"13299",Suppressed,35370,Suppressed

"13301",Suppressed,5460,Suppressed

"13303",Suppressed,20816,Suppressed

"13305",Suppressed,29534,Suppressed

"13307",Suppressed,2648,Suppressed

"13309",Suppressed,7903,Suppressed

"13311",Suppressed,28319,Suppressed

"13313",11,104216,Unreliable

"13315",Suppressed,8857,Suppressed

"13317",Suppressed,9867,Suppressed

"13319",Suppressed,9155,Suppressed

"13321",Suppressed,20699,Suppressed

"15001",Suppressed,196428,Suppressed

"15003",43,998714,4.3

"15005",Suppressed,89,Suppressed

"15007",Suppressed,71735,Suppressed

"15009",11,164637,Unreliable

"16001",22,434211,5.1

"16003",Suppressed,3843,Suppressed

"16005",Suppressed,83744,Suppressed

"16007",Suppressed,5922,Suppressed

"16009",Suppressed,9052,Suppressed

"16011",Suppressed,44990,Suppressed

"16013",Suppressed,21592,Suppressed

"16015",Suppressed,7058,Suppressed

"16017",Suppressed,41859,Suppressed

"16019",Suppressed,110089,Suppressed

"16021",Suppressed,11318,Suppressed

"16023",Suppressed,2501,Suppressed

"16025",Suppressed,1066,Suppressed

"16027",Suppressed,207478,Suppressed

"16029",Suppressed,6770,Suppressed

"16031",Suppressed,23506,Suppressed

"16033",Suppressed,880,Suppressed

"16035",Suppressed,8496,Suppressed

"16037",Suppressed,4087,Suppressed

"16039",Suppressed,25876,Suppressed

"16041",Suppressed,13074,Suppressed

"16043",Suppressed,12819,Suppressed

"16045",Suppressed,16852,Suppressed

"16047",Suppressed,15284,Suppressed

"16049",Suppressed,16272,Suppressed

"16051",Suppressed,27157,Suppressed

"16053",Suppressed,22814,Suppressed

"16055",10,150346,Unreliable

"16057",Suppressed,38778,Suppressed

"16059",Suppressed,7735,Suppressed

"16061",Suppressed,3789,Suppressed

"16063",Suppressed,5297,Suppressed

"16065",Suppressed,38273,Suppressed

"16067",Suppressed,20461,Suppressed

"16069",Suppressed,40048,Suppressed

"16071",Suppressed,4281,Suppressed

"16073",Suppressed,11310,Suppressed

"16075",Suppressed,22896,Suppressed

"16077",Suppressed,7648,Suppressed

"16079",Suppressed,12432,Suppressed

"16081",Suppressed,10564,Suppressed

"16083",Suppressed,82375,Suppressed

"16085",Suppressed,10103,Suppressed

"16087",Suppressed,9984,Suppressed

"17001",Suppressed,67013,Suppressed

"17003",Suppressed,6780,Suppressed

"17005",Suppressed,16950,Suppressed

"17007",Suppressed,53585,Suppressed

"17009",Suppressed,6829,Suppressed

"17011",10,33587,Unreliable

"17013",Suppressed,4899,Suppressed

"17015",Suppressed,14616,Suppressed

"17017",Suppressed,12847,Suppressed

"17019",23,208861,11.0

"17021",Suppressed,33642,Suppressed

"17023",Suppressed,15979,Suppressed

"17025",Suppressed,13428,Suppressed

"17027",Suppressed,37786,Suppressed

"17029",Suppressed,52521,Suppressed

"17031",535,5238216,10.2

"17033",Suppressed,19414,Suppressed

"17035",Suppressed,10898,Suppressed

"17037",Suppressed,104352,Suppressed

"17039",Suppressed,16247,Suppressed

"17041",Suppressed,19823,Suppressed

"17043",76,933736,8.1

"17045",Suppressed,17664,Suppressed

"17047",Suppressed,6534,Suppressed

"17049",Suppressed,34371,Suppressed

"17051",Suppressed,22043,Suppressed

"17053",Suppressed,13736,Suppressed

"17055",Suppressed,39485,Suppressed

"17057",Suppressed,35699,Suppressed

"17059",Suppressed,5265,Suppressed

"17061",Suppressed,13241,Suppressed

"17063",Suppressed,50541,Suppressed

"17065",Suppressed,8200,Suppressed

"17067",Suppressed,18543,Suppressed

"17069",Suppressed,4135,Suppressed

"17071",Suppressed,6995,Suppressed

"17073",Suppressed,49489,Suppressed

"17075",Suppressed,28672,Suppressed

"17077",Suppressed,59362,Suppressed

"17079",Suppressed,9607,Suppressed

"17081",Suppressed,38353,Suppressed

"17083",Suppressed,22372,Suppressed

"17085",Suppressed,22086,Suppressed

"17087",Suppressed,12762,Suppressed

"17089",24,530847,4.5

"17091",13,110879,Unreliable

"17093",Suppressed,123355,Suppressed

"17095",Suppressed,51441,Suppressed

"17097",66,703910,9.4

"17099",20,111333,18.0

"17101",Suppressed,16491,Suppressed

"17103",Suppressed,34584,Suppressed

"17105",Suppressed,36671,Suppressed

"17107",Suppressed,29494,Suppressed

"17109",Suppressed,31333,Suppressed

"17111",40,307343,13.0

"17113",17,173166,Unreliable

"17115",11,107303,Unreliable

"17117",Suppressed,46045,Suppressed

"17119",67,266209,25.2

"17121",Suppressed,38339,Suppressed

"17123",Suppressed,11982,Suppressed

"17125",Suppressed,13701,Suppressed

"17127",Suppressed,14766,Suppressed

"17129",Suppressed,12444,Suppressed

"17131",Suppressed,15858,Suppressed

"17133",Suppressed,33879,Suppressed

"17135",Suppressed,28898,Suppressed

"17137",Suppressed,34828,Suppressed

"17139",Suppressed,14931,Suppressed

"17141",Suppressed,51659,Suppressed

"17143",28,186221,15.0

"17145",Suppressed,21543,Suppressed

"17147",Suppressed,16387,Suppressed

"17149",Suppressed,15989,Suppressed

"17151",Suppressed,4226,Suppressed

"17153",Suppressed,5678,Suppressed

"17155",Suppressed,5644,Suppressed

"17157",Suppressed,32852,Suppressed

"17159",Suppressed,16029,Suppressed

"17161",Suppressed,146133,Suppressed

"17163",26,264052,9.8

"17165",Suppressed,24548,Suppressed

"17167",34,198712,17.1

"17169",Suppressed,7032,Suppressed

"17171",Suppressed,5092,Suppressed

"17173",Suppressed,21775,Suppressed

"17175",Suppressed,5788,Suppressed

"17177",Suppressed,45749,Suppressed

"17179",19,134800,Unreliable

"17181",Suppressed,17408,Suppressed

"17183",Suppressed,79282,Suppressed

"17185",Suppressed,11542,Suppressed

"17187",Suppressed,17527,Suppressed

"17189",Suppressed,14270,Suppressed

"17191",Suppressed,16423,Suppressed

"17193",Suppressed,14327,Suppressed

"17195",Suppressed,57079,Suppressed

"17197",76,687263,11.1

"17199",Suppressed,67466,Suppressed

"17201",63,287078,21.9

"17203",Suppressed,39227,Suppressed

"18001",Suppressed,34980,Suppressed

"18003",16,368450,Unreliable

"18005",Suppressed,81162,Suppressed

"18007",Suppressed,8681,Suppressed

"18009",Suppressed,12298,Suppressed

